sum;anAH ih;a
vats;am n;a
vavne suv;Iryam
acucyavItana y;at
Gn;antaH vqtr;am
cit eSAm
asTita antarv;Avat
kr;atum vidaH
v;asUni dasm;am
ha vaH
j;anaH y;am
;arAvZaH t;apurjamBa
v;i jahi
ap;aH vqZAn;aH
;aKidrayAmaBiH sTir;AH
Im ;aKidrayAmaBiH
paVkt;irADasam dev;AH
zuSm;iZe dev;attam
vraj;am n;a
B;UmyAm rizAdasaH
vAvqDe k;aH
yat;e n;a
ca gm;aH
dev;AH ;akqZvata
ID;e qt;At
v;i dv;iSaH
naH pUSan
naya n;a
nem;ayaH r;aTAH
pur;aH y;aH
aB;i pr;a
p;arA ha
;acodayaH ;aDa
dev;AnAm v;asuH
v;arpasA k;am
gqh;apatiH ;agne
yantu mar;utaH
sumn;EH ;it
;aMhaH vimucaH
DUtayaH sTir;A
kaDapriyaH pit;A
ugr;Adevam havAmahe
pur;aH Gn;anti
kqD;i naH
v;i DUm;am
vaDIt padISw;a
yajAmahe supr;atUrtim
vart;A n;a
r;AjAnaH eSAm
marutaH durm;adAH
G;qSvaye tveS;adyumnAya
y;aTA rudr;aH
;amavantaH arc;ayaH
y;aH te
n;a v;izaH
v;acoBiH Imahe
azrot ;abIBayanta
atnata vAzr;AH
Imahe k;at
Ut;iBiH ;asAmi
pinvAn;AH sv;asare
vocema vid;aTeSu
ih;a avit;A
r;aTeSu p;qSatIH
pasty:ABiH asTita
cakrir;e t;am
p;arA-parA n;irqtiH
j;anam k;aH
r;ISataH ut;a
B;uvanAni praTanta
ca zizIh;i
d;adAti sUn;aram
p;USan ;avaH
etu sUn;qtA
r;odasI ap;aH
vqZImahe h;otAram
te dasra
naH somaparib;ADaH
mqxa mah;An
;asAmi h;i
purUZ;Am viz;Am
;it any;e
qtAy;antIH aB;i
pratn;am inDate
;aGnyam krIx;am
AB;USantIH soma
mah;An asi
v;i viYcanti
kSatr;am pqYcIt;a
;indum p;ari
pr;atItaye rakSasv;inaH
;ajmeSu atnata
hav;iSmantaH viDema
p;arvataH gir;iH
Datte ;akSiti
B;USan d;akSAya
tv;ayA D;anam
akt;uBiH m;A
t;amaH kqZvanti
t;uByam p;avamAna
vizp;atiH Biy;A
;aDa svan;At
sma m;adAya
pUSan aG;aH
tvA Imahe
;arejanta pr;a
tm;anA ;aCa
rip;uH Izata
j;ihIta p;arvataH
g;AvaH n;a
tv;Am agne
n;a pr;atItaye
ha DUtayaH
zr;iyam ;aDi
zukr;aH iva
v;izvam tok;am
g;anta div;aH
d;uvaH t;atra
v;anasp;atIn pr;a
n;i vaH
;it yAtum;AvataH
Arata marutaH
naH agne
;aditiH k;arat
y;aviSWya Gan;A
;AyuH jIv;ase
p;ArTivam ;arejanta
daha kqD;i
k;at rudr;Aya
cit ;AyuH
vidaH n;a
dev;eSu ;Apyam
y;aH zukr;aH
naH mqxa
rakSasv;inaH s;adam
Imahe y;aH
ark;iZam asm;e
y;at eSAm
;ISate v;i
;upa u
naH d;uvaH
ud;aram p;USan
kv:a u
nqZ;Am m;ahi
vyUrZv;an am;qtasya
;asAmiBiH marutaH
mqg;aH n;a
gir;A jar;AyE
vaH g;AvaH
p;ari y;at
zqZve eSAm
y;Aman citr;am
vivAse cat;uraH
n;i ket;unA
puruB;USu n;avyaH
pr;a y;at
aB;i arSa
avit;A B;ava
m;Arutam anarv;AZam
dvit;A vyUrZv;an
s;arvaH eDate
sp;arDante D;iyaH
naH ;aBvaH
tv;e v;izvA
sAk;am v;AzIBiH
t;atra u
muSIv;AZam hurazc;itam
daha krIx;am
y;aH naH
;upa m;A
qt;ajAtaH ukSit;aH
t;asya pr;a
zr;eSWaH dev;AnAm
p;anIyasI m;A
vaH z;arDAya
krIx;am y;at
daDire sahov;qDam
d;ivA cit
y;AmeSu r;ejate
k;AvyA B;arate
vaH z;arDaH
durg;A v;i
vepayanti p;arvatAn
;astqtaH kaT;A
aryamZ;aH m;ahi
;A n;iH
n;a pqTivy;AH
jy;otiH kqZuhi
;aMhasaH n;i
z;UraH n;a
y;at kav;iH
jarit;qByaH daDAti
agn;im mitr;am
arc;ayaH BIm;AsaH
raTez;uBam k;aZvAH
agne rakS;asaH
aneh;asam pr;a
n;irqtiH durh;aZA
avaKAd;aH asti
