soma saKy;e
t;at s;u
ha g;arBam
ut;a pr;a
pr;a y;at
dev;aH ;A
aB;i pr;ayaH
;enAMsi zizraTaH
pad;e param;e
maG;avA y;aH
indra somapAH
v;izvAH y;aH
;A r;odasI
iva ;it
aBipitv;e ;ahnAm
usr;iyAH havyas;UdaH
;anu svaD;Am
n;a g;arBam
m;A vAm
yajY;am nAsatyA
y;aTA naH
y;at asya
n;a raZv;A
kar n;a
te cakqm;a
r;aTena ;A
s;a suSw;uBA
ut;a u
naH Ut;aye
s;A naH
y;at ;aBrAw
v;Ajam ;A
cit y;e
vay;am h;i
;ut u
pr;a bAh;U
nUn;am asm;e
ut;a ty;am
;anu vrat;am
kqZvata tr;Am
dev;An ;aCa
t;am Im
qBavaH t;at
tv;am t;am
;indram iva
;aha deBuH
;iti tv;aSwA
iva ;A
