sah;asram te
n;AmAni yajY;iyAni
dr;aviZam ca
vAjinIvati ;uSaH
v;i aYj;iBiH
zaVk;avaH arpit;AH
y;e sapt;a
;indre ;it
g;AvaH ap;Am
pazyati kqt;Ani
priy;ameDAH ahUSata
;animeSam r;akSamAZaH
;apAMsi cakruH
n;araH purutr;A
ant;ar y;aH
kAr;am eByaH
putr;An ut;a
dev;AnAm m;anaH
;etazaH kv:a
v;arDanam puruniSS;iDe
st;omeBiH kqZv;e
sUr;iH ;A
hav;iSA vivAsati
t;ava y;aH
ca im;AH
v;i p;arvatam
n;a DIt;ayaH
aj;arA am;qtA
tv;e v;izve
p;ari h;avAmahe
p;UrvaH ;aVgirAH
sum;anAH ih;a
dy;AvaH n;a
p;uSyati cark;qtyam
tras;adasyum ;Avatam
kSap;AvAn agn;iH
s;a mAt;uH
ih;a aDvary;uBiH
aB;i svara
veD;AH ;adqptaH
agne y;e
y;ujyeBiH aB;i
v;ikastam ;ut
v;aha vAyo
;atriH m;anuH
u tv;am
pqT;upragAmA suz;evaH
parAk;At ;azve
BUrid;AvattarA vAm
n;aryasya pr;ayajyoH
aB;i asqkSata
v;aruZAya mIX;uSe
r;ATyeBiH ;aTa
aVgiraH ;upa
v;i dv;iSaH
sumnay;an ah;am
pqtanAy;antam ;UmEH
;upa kSaranti
tr;iH sOBagatv;am
vaMz;am iva
b;iBrataH hav;iH
n;i vartatAm
kakuh;AH aps;u
ahUSata r;Ajantam
p;arA ha
cit Arcatk;asya
stuv;antam ;agne
ut;a biByuH
n;u y;At
indra pr;Asya
azvinA vAm
pur;aH Gn;anti
dAD;Ara d;akSam
m;anum z;Uram
v;ikqtAni rUpaz;aH
d;adqze r;Iyate
Br;Ajante s;umaKAsaH
pracyAv;ayantaH ;acyutA
astu d;akSiZaH
marutaH durm;adAH
r;uzat r;ohiZISu
s;a p;OMsyeBiH
y;atra naH
s;oma gIrB;iH
;amavantaH arc;ayaH
v;acaH c;anaH
y;aH te
r;aTeSu ;A
v;acoBiH Imahe
k;ulizena v;ivqkZA
asm;e vats;am
nir;atakSata y;at
mar;utaH mimikSuH
naH v;AjAn
ukT;Ani ca
;ekasya cit
v;aDIH h;i
biBarSi h;astayoH
havAmahe ;indram
BAti paz;Un
hinvanti DIt;ayaH
saniSZata ut;a
DUrt;iH pr;aZak
v;izvA ca
avayAt;Am mar;utAm
r;aTasya k;at
n;amasA hav;iSmatA
;AyuH suv;Iryam
mAny;asya kAr;oH
k;artvam t;at
;induBiH S;aw
pAr;ayAt z;arma
vqSaZA zayutr;A
v;eSi j;anAn
pakv;am y;e
