eSAm iSir;AsaH adr;uhaH
v;arZam B;aramAZaH r;uzantam
dev;AnAm j;animAni ;adButaH
qtAv;qDA s;a sapt;a
tirazc;atA gavy;A jigAti
ajyate manIS;iBiH ;indrasya
mah;An ;adabDaH v;aruZaH
dAz;uSe ;A pavasva
upalaprakS;iZI nan;A n;AnADiyaH
p;avamAnaH r;uzat Irte
asqkSata mah;e B;arAya
s;am suSwut;I n;asate
p;ayaH b;aBro duduhr;e
sv:ar vAj;I siSAsati
duC;unAm agn;iH ;qSiH
y;ena tok;am ca
u arvAv;ataH sut;aH
pazum;at h;iraZyavat ;upa
;indram g;aCan ;AyuDA
n;a putr;aH kr;atuBiH
;atyaH n;a hiyAn;aH
qgm;iyaH Atmanv;at n;aBaH
k;Amyam vats;am n;a
;indram m;adAya j;ohuvat
gAt;uH suy;amaH n;a
vAj;inam v;ane kr;Ixantam
tigm;e z;izAnaH mahiS;aH
v;izvABiH mat;iBiH p;ariSkqtam
s;omaH v;qSA v;qSZe
akSaran et;e v;izvAni
g;oBiH aYjAn;aH arSati
d;aDAnaH v;asAnaH z;arma
r;ajasi praj;AvatIH c;atasraH
te kSarantu m;aDumat
k;anikradat sah;asraDAraH p;ari
Am;uraH s;oma vrat;eSu
Gqt;avAnti sIda mad;intamaH
;indrAya matsar;am ;A
aps;u tvA m;aDumattamam
r;aTAnAm gavy;an eti
;A viveza s;Ama
indo m;adAya k;am
v;qSA tripqSW;aH anaviSwa
s;a pavasva y;aH
pqCate g;AH ;asya
jAr;am n;a kany:A
girAv;qDam ;indo ;indrAya
mandray;uvaH vipany;uvaH panasy;uvaH
p;ayaH B;uvat trit;asya
;it ;arAtIH p;ayaH
eS;a v;asUni pibdan;A
akrata sat;aH pr;a
v;Acam upavakt;A iva
qt;asya y;onA mahiS;AH
;qkvaBiH pr;a y;at
z;UreByaH cit z;UrataraH
samy;aYcaH mahiS;AH aheSata
zakun;aH n;a p;atvA
m;aDumantaH ;indavaH ;asiSyadanta
eS;a sy;a te
kriyate suk;armaBiH p;avasva
pUrvy;aH n;qBiH yemAn;aH
ca punat;e ;At
s;UraH n;a vizv;adarzataH
pr;a D;ArAH asya
priy;AZi k;AvyA v;izvA
;indrasya v;ajraH vqSaB;aH
dev;eByaH p;ari v;izvA
n;a s;atvaBiH v;qTA
m;adAya G;qSvaye s;argaH
arSati eS;a u
tv;am naH vIra
aDanviSuH ;ApaH n;a
jihate bqh;at dv;AraH
svan;aH jAn;an qt;am
D;ArayA y;ayA pIt;aH
Ayajy;avaH sumat;im vizv;avArAH
codaya d;akSaH dev;AnAm
sr;iDaH eS;a ;indrAya
j;eSAma samiT;e tv;otayaH
Bava sUpasT;ABiH n;a
sriD;aH aps;AH yAti
B;agam s;UrAH ;aZvam
pavate m;adaH s;omaH
jajYAn;am h;arim mqjanti
mahiS;aH s;iSAsan s;omaH
g;AH ihi punAn;aH
naH soma p;avamAnaH
DAvanti ;indavaH s;omAH
;qkvaBiH tv;am ty;at
Druv;asya sat;aH p;ari
;induH D;ArABiH sacate
iva vIt;A Danva
h;otAraH n;a diviy;ajaH
sumat;iH Bava naH
D;ArayA p;avamAnaH k;anikradat
;ajIjanan zyen;aH n;a
hiraZy;ayIH p;avamAnena s;uSwutAH
k;anikradat p;ari v;ArAZi
sya graTit;am punAn;aH
vAvazAn;AH s;omam g;AvaH
;A zAsate manIS;iZaH
y;ena v;anAmahE s;omAH
dyutAn;aH vAj;iBiH yat;aH
punAn;aH vAG;at vAG;adBiH
s;a y;aH div;aH
barh;iSi priy;am gir;A
t;am tuviSv;aZi ;indrAya
s;atvaBiH v;qTA p;AjAMsi
;A p;Antam ;A
y;am cakqS;e tv;am
sunve t;uByam pavate
D;anAnAm v;qSA iva
duSw;araH mqjy;amAnaH g;aBastyoH
jaW;areSu Aviz;an tv;am
tAriSaH Av;iH te
dr;oZam nanakSe ;atyaH
dev;ajAtAH asqgran sah;asram
ray;im azv;inam vAvazAn;aH
j;AgqviH sut;aH eti
n;qBiH yat;aH s;Uryam
uttam;am asm;e v;asUni
sut;am g;iraH ;indrAya
D;armAZi daDiSe v;qSZaH
;induH hinvAn;aH ajyate
v;arivAMsi kqZv;an Gan;A
y;anti s;am ca
z;izAnaH arSati ant;arikSeZa
madir;aH m;adAya udagrAB;asya
