eSAm iSir;AsaH adr;uhaH
y;avaM-yavam naH ;anDasA
ca aBizrIZ;an p;ayaH
uB;A dev;A nqc;akSasA
pAvak;aH ;adButaH z;uciH
p;iba indra s;omam
triD;Atu asya d;aMsasA
n;i v;ayaH tira
aGny;AH aB;i ;anUSata
c;anohitaH praroc;ayan r;odasI
aB;i zr;iyaH z;UraH
sut;aH ;indrAya indo
div;aH pavate k;qtvyaH
prat;apan jy;otiSA t;amaH
asm;aByam rodasI ray;im
vivAsati s;a naH
div;aH jan;ayan aps;u
v;asUni b;iBratam v;qSA
n;qBiH yemAn;aH jajYAn;aH
akS;aBiH qZ;oH ;apa
n;i caranti m;Am
savitar pav;itreZa sav;ena
av;aH div;aH hav;iH
s;omAsaH parAv;ati y;e
eti h;arSate asya
indriy;aH r;asaH v;ajraH
vAj;I hit;aH n;qBiH
v;izvAni v;AryA z;UraH
y;at ;anDaH ;aBarat
gAtuv;ittamaH dev;eByaH m;aDumattamaH
d;Evyam j;anam eS;a
g;aCan v;Ajam sahasr;iZam
tvA d;aza kS;ipaH
praTam;e v;iDarman jan;ayan
n;a Datte ;AyuDA
m;anasaH v;enataH v;Ak
;aDi mqjy;ate h;ariH
v;asUnAm m;artasya dev;I
g;AvaH aB;i anUSata
tvac;i g;avAm krIxati
matsar;aH indrap;AnaH vqSw;im
vacasyate Diy;aH s;a
y;at ukTy:am mah;aH
iva sAnas;iH kr;atve
As;adam dev;aH ;A
ray;im ;aTa naH
s;omam ;indrAya p;Atave
v;Are p;ari priy;aH
punItana ugr;am d;akSAya
svAB;uvam s;omaH punAn;aH
qZv;anti veD;asaH ;avyaH
;indrasya vAy;oH aB;i
g;AH acikradat punAn;aH
;apa am;itrAn ;apa
pavasva dev;eByaH soma
roc;ayan r;ucaH ;ut
;A pavasva B;agam
m;anasaH p;atiH ;avyaH
punanti v;AreZa y;aH
Ay;avaH punAn;aH cam;U
;avye punAn;am p;ari
n;a Den;avaH barhiS;adaH
hiyAn;aH D;ArABiH akSAr
s;acA vrat;Ani pAn;aH
aYjmaH m;adAya k;am
;qSiH v;ipraH puraet;A
pratn;ena v;ayasA punAn;aH
t;An ;apracetasaH t;am
up;asTe ;A j;igAt
akramIt pratn;am asya
vraj;am div;aH hinv;an
yajY;am AnuS;ak y;at
soma aB;i naH
gqh;e tv;am dy;Am
vIt;im ;anDasA aB;i
jAt;am ;anDasaH m;adeSu
g;aBastyoH aB;i s;omAsaH
sut;AH qt;asya s;Adane
viza ;A pavamAna
m;atsi dev;An v;izvAni
Izata ;indo j;ayema
in;u dv;eSAMsi saDry:ak
p;avamAnaH manIS;iBiH s;omaH
v;arZaH asya s;a
sv:AtataH ;ApUrZaH aMz;uH
rUp;EH ajyate h;ariH
duhit;uH d;aDAnaH v;asAnaH
haryat;Aya DqSZ;ave D;anuH
Ay;ave hinv;anti s;Uram
svAd;uH ;indrAya suh;avItunAmne
m;aDumAn indra s;omaH
pinvate pad;am aMz;uH
div;e pqTivy;E z;am
qc;A z;ocantaH saMd;ahantaH
t;am sotAraH Danasp;qtam
dUXy:A ruj;a y;aH
s;acamAnaH Urm;iZA devAvy:am
indo m;adeSu ;A
;A n;qBiH yat;aH
pIt;aye punAn;aH yAti
m;adam suvAn;aH arSa
pIt;aH indo ;indram
eS;a hit;aH v;i
vqDi ;ati u
dev;am ;aCa m;aDumantaH
;asazcuSI kSum;at v;Ajavat
sah;asravalzam h;aritam Br;AjamAnam
y;azaH maG;avadByaH ca
srava sut;aH eti
Aj;O et;e zukr;AsaH
div;aH z;izuH y;aH
s;Uryasya iva razm;ayaH
;azvaH v;oXA suK;am
naH DAntu suv;Iryam
te saKy;e vay;am
v;i ;akSarat Av;ivAsan
br;ahma t;ena punIhi
n;a pr;a minAti
mqjAn;aH aps;u duduhAn;aH
mAt;arA n;a d;adqzAnaH
asy;a pItv;A m;adAnAm
s;a naH madAnAm
d;ivA saKy;Aya baBro
;aviDat m;anaH ;indrAya
jAm;ayaH h;arim hinvanti
aruZ;Aya divisp;qze s;omAya
punAn;aH ;atyaH n;a
ah;am vazmi pavamAna
m;aDvA pqcAn;aH tir;aH
r;ajaH s;a m;aDvaH
;amIvAm b;ADamAnaH m;qDaH
;asAvi aMz;uH m;adAya
t;e naH DAntu
m;aDumAn draps;aH p;ari
pqSW;am barh;aZA nirZ;ije
z;qVge g;AH gavy;an
jaBriSe pr;ati drAp;im
asazc;ataH zat;aDArAH aBizr;iyaH
tveS;am rUp;am kqZute
Bind;antaH adrivaH nud;asva
r;eBan mit;A iva
;indrAya soma svAd;uH
r;aTaH d;EvyaH darzat;aH
vrat;e j;anaH dAD;Ara
BakS;am Azata hav;iH
arSanti raGuj;AH iva
y;onA kal;azeSu sIdati
D;ArayA pavate sut;aH
D;IraH uzat;e t;avasvAn
s;aKAyaH ;A n;i
p;ari srava sv;AdiSWaH
suhastya samudr;e v;Acam
eS;a sy;a m;AnuSISu
draviZov;it punAn;aH devAvy:aH
sot;qBiH pUy;amAnaH aB;i
ark;am ;it priy;Am
pEdv;aH n;a h;i
;qSIZAm sapt;a nUSata
pratn;am ;it p;ayaH
DIj;avanam raTeSW;Am aB;i
pav;itre p;ari sicyate
p;ari it;aH siYcata
pavate m;aDu priy;am
aps;u ant;ar ;A
D;anAya svAd;uH pavAte
goj;it naH s;omaH
p;anipnatam hiraZy;ayam zakun;am
apaGn;an eSi pavamAna
g;oBiH indo camv:oH
vaDasno IVKaya n;i
mat;iBiH vicakSaZa zuBr;am
deva hiraZy;ayaH duhAn;aH
tvA m;adAya G;qSvaye
sahasr;iZIH ;iSaH s;a
praGnat;Am iva m;aDumAn
nad;ISu j;anaH n;a
pate ArjIk;At soma
t;ava Ut;iBiH jy;ok
srava sv;AdiSWaH ;aVgiroByaH
iva viSw;apam jan;ayan
rUp;am ap;Am r;asena
;A v;asu g;avyAni
aB;i tm;anA yahv;I
r;oruvat aMz;uH asmE
am;qtaH m;artyeBiH marmqjAn;aH
kSeti s;Adane s;inDoH
te vay;am pav;itram
hurazc;itaH prAt;ar t;An
n;a s;inDUn v;i
j;EtrAya harSayan v;ajraH
zakun;aH viB;qtvA govind;uH
y;at vAj;I aruS;aH
n;avyaH zriy;e jAt;aH
mah;aH div;aH c;Arum
n;a zravasy;avaH s;omAsaH
v;ane UrDv;A navanta
;indrAya p;avamAnaH indo
n;u saty;am p;avamAnasya
arciv;at ;agne t;ena
iva yanti sud;uGAH
p;ari srava n;aBaH
sah;asraDAram vqSaB;am payov;qDam
v;AjAn soma g;omataH
d;aBAya sukr;atuH tr;I
D;iyam daDuH s;a
p;avamAna n;i tozase
;avye sah;asraDAraH suraB;iH
miTun;AsaH n;ikAmAH aDvary;avaH
k;Amam akSaran v;arDantaH
;ati tr;I soma
p;avamAna qt;uBiH kave
naH mitr;aH v;aruZaH
hinvanti agr;uvaH D;amanti
qt;asya s;Adane ;indrAya
m;udaH pram;udaH ;Asate
sv;adanti g;AvaH p;ayoBiH
iCati ;indrAya indo
y;Atave ut;a ty;AH
saD;asTA punAn;aH kqZute
pr;a suvAn;aH D;ArayA
pazyate j;AH h;arim
n;i tAriSaH Av;iH
srava kAr;uH ah;am
kS;ipaH s;am agmata
;avyam Az;avaH vAzr;AH
suvrat;aH zyen;aH n;a
aps;u d;akSaH giriSW;AH
h;ariH haryat;aH m;adaH
jigatn;avaH Druv;AH Gqt;e
ena sumat;im yAti
pr;a t;u drava
;A aBarat t;am
im;Am ur;oH ;A
adB;iH soma papqcAn;asya
m;adAH ;induH ;indrAya
s;anIxABiH daz;aBiH k;Amyam
vidy;ut stan;ayantI aBr;EH
krIx;uH maK;aH n;a
;Apat zl;okam indriy;am
;indo y;aTA t;ava
z;arDAya vIt;aye y;aTA
soma p;avamAnaH v;izvAni
soma tasT;atuH p;ari
r;ajaH aB;i arSanti
D;ArayA sut;aH ;indram
marmqjy;ante div;aH z;izum
y;azaH ;iSaH pate
asiSyadat ap;aH v;asAnaH
p;ari t;Ani arSati
ca matsar;aH v;izvA
vizvamejaya rAy;aH Dart;A
agn;iH ;indraH saj;oSasaH
pav;itram ;ati akSaran
kal;azeSu sIdasi ;indrAya
k;am p;ayaH duhanti
s;am apqkta r;asam
v;izve kAr;avaH saMn;asanta
s;omaH pav;itram ;A
n;avagvaH daDy;aV aporZut;e
jAgqhi y;aTA p;UrveByaH
;ataptatanUH n;a t;at
naH vidv;An vanavat
h;ariH Gqt;asnuH sud;qzIkaH
m;adaH s;omasya D;ArA
samudr;am ;indavaH ;agman
p;anyase j;anAya j;uSwaH
rayiS;Aw ;amartyaH ay;am
s;omAsaH d;aDyAziraH vip;A
;A ISati ;A
;ava dr;oZAni Gqt;avAnti
;azvam n;a h;etAraH
t;anA ;induH hinvAn;aH
iSaZy;an p;ari priy;aH
naH tArIt m;A
te D;ArAH maDuzc;utaH
;induH v;arivaH vidat
matIn;Am pratn;AH qZvanti
yanti vqSw;ayaH ;aCa
mah;aH samudr;am v;aruZaH
zrav;Ayyam priy;aH samudr;am
sisrate t;uByam DAvanti
soma mqxaya Gqt;am
asya mAy;ayA nqc;akSasaH
zoc;iSA v;i adyOt
n;a yajY;EH p;ari
m;odAH ca m;udaH
hinv;e v;AjeSu vAj;inam
;induH ;indram ;A
;A t;ava pratn;eBiH
vizp;atiH vqSw;im div;aH
;indrasya soma r;ADase
dr;oZAni r;oruvat s;Idan
AnazuH ut;a id;am
m;aDu ;A naH
saniSy;an ayAsIt ;indram
h;i zr;avasA tat;ardiTa
nqmZ;A d;aDAnaH ;ojasA
jy;otiH y;at ;ahne
v;Aram apAviSuH ;ati
n;a pr;azastiBiH s;omAsaH
vIr;avat m;imAti v;ahniH
p;ari srava parj;anyavqdDam
saty;Ani kqZv;an dr;aviZAni
yahv;atIH ;ApaH t;atra
kav;iH viDart;ari v;iprAya
sut;aH s;omaH v;aneSu
y;at asya j;Ayate
y;aH pAvamAn;IH aDy;eti
vAsayAmasi s;omam j;anasya
B;uvaneSu ;arpitaH tv;am
;indre p;avamAnaH ;ojaH
Barat ;aDa hinvAn;aH
v;arDantaH apt;uraH kqZv;antaH
te pav;itram arciv;at
haryat;am h;arim baBr;um
pIt;aye ;At Im
v;i DAvati j;ahat
vrat;eSu ;api s;omaH
kqZute h;ariH p;ari
sarvaD;AH asi s;a
g;onAm ;indreZa soma
kS;ipaH hinv;anti sapt;a
;abiByuSA hqd;A ;asya
nqc;akSase ;A ;indrasya
t;An te azyAma
hit;am j;anima n;emam
g;AvaH p;ayasA cam;USu
eti niSkqt;am krAZ;A
m;aDu priy;am vakt;A
Bara ay;A vIt;I
daDiSe v;qSZaH te
zat;am naH indo
r;oma pavate ;adridugDaH
praBUvaso v;arDa samudr;am
Danvanti s;omAH d;evAsaH
v;izvAni v;AryA v;asUni
stotr;e suv;Iryam ;A
pavasva vicarSaZe praj;Avat
n;a svay;ugvaBiH D;ArA
samudr;iyAH ap;aH agriy;aH
;ABqtam div;aH t;ena
;A s;Idan ;indrasya
anaviSwa g;AH aB;i
v;AreBiH arSati g;aCan
soma draviZov;it punAn;aH
iSyati samudr;asya ;aDi
n;a saty;aH s;amitIH
sam;inakSantaH Azata ;atra
r;aTe ;A asmin
Apt;AH k;AmAH t;atra
mah;e samaryar;Ajye v;AjAn
gahi y;at adB;iH
hinvanti DIt;iBiH p;avamAnAH
s;omaH kapard;ine Gqt;am
cakAra ap;Am y;at
punAn;aH aruS;aH h;ariH
Azata hav;iH haviSmaH
manIS;iBiH manIS;iBiH pavate
asmin piz;aVgam indavaH
D;Ama svarv;ide B;uvanAni
p;avamAnaH ray;iH v;i
;aDi r;etasi sUn;oH
vqZIm;ahe saKy;Aya vqZIm;ahe
DanaMjay;aH pavate k;qtvyaH
mat;iBiH kavIn;Am divy;aH
tv;Am aruZ;am vay;am
s;omaH punAn;aH s;adaH
;aCa nqc;akSAH asarat
aGazaMsah;A p;avasva dakSas;ADanaH
avatam naH tr;iH
tuYj;anti B;UrZayaH eS;a
s;aKiByaH ;A v;aram
s;omAsaH akSaran ;atyUrmiH
bqh;at dv;AraH dev;IH
p;avamAna vid;AH ray;im
soma s;omaH pavate
n;are ca d;akSiZAvate
r;asaH aBikr;andan kal;azam
;aDi jAm;ayaH h;arim
;adabDaH indo pavase
;induH janiSwa rodasI
s;inDavaH y;at g;oBiH
;A s;u naH
qSiS;Aw avIvazat y;aH
dAz;uSaH gqh;e tv;am
samIcIn;e aB;i tm;anA
t;ava st;avaH y;aTA
kam p;avamAnaH asiSyadat
s;AnO aMz;um duhanti
Barat v;izvasmE ;it
s;amBqtam r;asam t;asmE
DAvati zyen;aH v;arma
dvib;arhasam ray;im tv;am
sv;am ;A r;ajaH
v;qSaZam yantu h;arayaH
Imahe sumat;I z;arma
hat;a maK;am n;a
kav;iH sIda n;i
h;are sqjAn;aH Az;iram
Im qZv;anti veD;asaH
g;AvaH Den;avaH vAvazAn;AH
ukS;amAZam avy;aye v;Are
veD;Am meD;ayA ahyan
pavase pav;itre ;A
rohasi vIray;uH zavasaH
zarmay;antyA D;ArayA soma
;indrAya p;Atave n;qBiH
;it ;upa sIdata
akSAr sah;asraretAH adB;iH
t;am ;A Bara
samudr;am Az;avaH Diy;A
DAvati pav;itre p;ari
s;omaH divy;Ani p;ArTivA
gIrB;iH vAsayAmasi t;am
AD;qSe p;avamAnasya dUXy:A
praTam;am y;at sv:arZaram
s;omAH sah;asrapAjasaH duhAn;aH
pUy;amAnaH svast;i ;indram
b;iBrat purusp;qham gir;A
j;enyam vipazc;itam ap;Am
p;atvA s;omaH punAn;aH
v;arcaH suv;Iryam d;aDat
;avye mqj;anti tvA
Asu gqBZate vipazc;ite
D;ArayA sah;asravalzam h;aritam
m;imIte asya y;ojanA
Urm;iH y;aH te
azv;inA sAk;am m;adena
s;oma v;izvA ca
aB;i s;antam ;astqtam
v;arImaBiH s;am I
dade s;a mAt;arA
samary;e pavamAna codaya
yajat;aH saMyat;aH m;adaH
pav;itre arSati viGn;an
v;asAnaH mah;An kav;iH
;A pavamAna suSwut;im
vid;AH ray;im asm;aByam
iva asarat cam;USu
s;am navante ev;a
soma v;iSZave dev;eByaH
s;a modate n;asate
vizvavit pr;a te
;iyakSanti pr;acetasaH m;ajjanti
divy;eSu D;Amasu sqjAn;aH
;aDa zvet;am kal;azam
p;avasva vAc;aH agriy;aH
Urm;im div;aH p;ari
tiSWanti c;etasA ;arUrucat
g;AH s;am cikradaH
h;anti z;atrum aB;Itya
;A naH s;omam
m;anuSe pinvati tv;acam
asm;aByam gAtuv;ittamaH dev;eByaH
dev;AH ;iti br;avan
;ahiH n;a jUrZ;Am
carAmasi t;at ;it
ap;aH pr;a m;eDiraH
B;arAya dev;EH yAhi
naH ay;A pav;A
Danva pasty:AvAn j;uSwaH
apAviSuH ;ati v;ArAn
y;aH ;ojiSWaH t;am
;anu kSara tIvr;aH
s;omAH Ayajy;avaH sumat;im
niSW;AH vqSaB;aH v;i
vay;am ;indrapItam svarv;idam
pavate D;Ama k;im
pAti ukS;A m;aDupqSWam
AVgUS;AZAm avAvazanta v;AZIH
qt;am qt;Aya pavate
dev;eSu ;A yamat
devav;ItamaH asm;aByam vqSw;im
s;a Avar priy;A
indra s;omaH v;qSA
soma paZ;iByaH ;A
s;a naH ;indrAya
manIS;iZaH s;am I
srava y;atra Anand;AH
t;ava d;akSaH v;i
D;iyam manoy;ujam sqj;a
;aDa kSap;A p;ariSkqtaH
naH ;A Baja
naH y;aTA ;apavaTAH
sut;aH pIt;aye v;qSA
varDa naH g;iraH
s;AnO ;avye mqj;anti
y;Atave t;am asya
r;aTaH n;a v;Ajam
roha D;armaZA p;avamAna
d;IDitim v;izvA p;ari
ty;e indo ;anDasaH
;aDi ;A y;e
pav;itram D;ArayA kave
mah;IH ap;aH v;i
ty;e soma pavamAna
gaCantu vaH m;adAH
deva devay;uH v;i
v;izvasya avIvazat mat;im
s;omam mah;e dyumn;Aya
v;Ajam ;induH iSyati
m;AnuSISu ;A zyen;aH
g;aCan kav;ikratuH ;A
m;anasaH j;avIyAn arvAc;InEH
div;aH pqSW;am azvay;uH
varDaya g;iraH punAn;aH
v;i DAvati eS;a
vipray;antaH v;i AnazuH
vidy;utA pavate D;ArayA
rAj;ase IzAn;aH im;A
padajY;AH svarv;idaH aB;i
y;at s;omaH v;Ajam
pr;ayAMsi ray;im t;uYjAnaH
nivez;e dvip;ade c;atuSpade
D;ArayA mar;utvantaH matsar;AH
v;izvA v;asUni saMj;ayan
tarati svay;ugvaBiH s;UraH
p;avamAnena s;uSwutAH suzilp;e
p;atiH div;aH zat;aDAraH
krIxati ;adriBiH ;indram
mah;IH ap;aH suv;IrAsaH
sumat;I z;arma sapr;aTaH
naH ;araruSaH svan;At
dy;OH aB;i naH
m;ayi p;oSam p;avamAnaH
darzat;aH s;am s;UryeZa
iva duhe ;agre
t;A v;i DAvasi
n;qBiH yat;aH p;ari
s;omaH p;avamAnaH Urm;im
pUt;aH kS;arat v;izvAni
vaH D;iyaH mandray;uvaH
k;anikradat pr;a r;AjA
v;izvAn rakS;asaH indo
razm;ayaH ket;um kqZv;an
;A Bara t;arat
z;UraH y;an iva
janit;A agn;eH janit;A
vqtrah;antamaH p;arSi r;ADaH
soma p;ArTivA v;asUni
samudr;am tur;Iyam D;Ama
vadema vid;aTe suv;IrAH
arSanti s;inDavaH s;oma
puraet;A j;anAnAm qB;uH
saMn;asanta jy;otiH y;at
punAn;aH ;A Bara
m;aDumAn qt;AvA ap;aH
g;AH kqZvAn;aH n;a
lok;e sv:ar hit;am
anUSata ;iyakSanti pr;acetasaH
raBas;asya m;antavaH ;apa
asm;aByam indo indray;uH
ihi ut;a ah;am
g;oH apIcy:am pad;am
asya param;e vy:omani
p;ari s;aptiH n;a
ut;a id;am uttam;Ayyam
acikradaH s;omAH asqgram
t;am tvA hinvanti
dyukS;atamaH m;adaH y;asya
;usrayaH p;avamAnam maDuzc;utam
mAt;araH marmqjy;ante div;aH
v;Aram avy;ayam s;a
haryat;aH t;am gIrB;iH
asvaran v;ane kr;Ixantam
y;aH devav;ItamaH t;am
;upa Im agman
jigAti s;a pUrvy;aH
m;aDvaH v;Ajasya sAt;aye
div;aH ;iyarti v;Acam
m;adAmasi mah;e samaryar;Ajye
sah;asraDAraH zat;avAjaH ;induH
te pav;itram arc;iSi
vqSAy;ate n;aBasA v;epate
v;qSZe p;ari pav;itre
;AhitaH ;A y;at
priy;am jah;i v;izvAn
zl;okayantrAsaH raBas;asya m;antavaH
pavasva D;ArayA y;ayA
;arpitaH h;ariH Gqt;asnuH
aMz;uH pavate indriy;Aya
;iSam p;ari priy;A
z;umBase t;am tvA
;aZvam v;i yAti
n;a jAm;im apaGn;an
t;Ani punAna jaVGanaH
D;anam kAr;iZe n;a
s;Urye s;acA kav;eH
p;ari ant;arikSAt asqkSata
qt;asya suzr;iyaH vidAn;AH
g;iraH te indo
g;iraH s;omaH pavate
gqBZ;Ati ripr;am ;aviH
g;oBiH asarat s;am
;asuraH cakre Ar;aBe
g;AH ;adrim uSZ;an
t;am Im hinvanti
aps;u tvA h;astEH
m;aDvA yajY;am mimikSa
;AsInAH ant;ar aB;i
vid;Asi naH ;indo
v;ayaH tira dUr;e
indo vIr;avat y;azaH
arazm;AnaH y;e araT;AH
s;u naH ap;Am
;anu ;ApaH sacante
n;a darzat;aH s;am
p;avamAnaH v;i aznavat
vAjas;Atamam ray;im arSa
ruj;a y;aH tvA
sar;aTam punAn;aH vAG;at
p;avamAnaH qt;aH kav;iH
hinv;anti D;IrAH daz;aBiH
jah;i z;atrum antik;e
;arAvZaH sut;AH ;anu
;indram Azata y;am
pAhi ;aMhasaH pr;a
vqj;anam r;akSamAZaH pit;A
tur;Iyam D;Ama mahiS;aH
sapt;a Den;avaH ap;Am
azvav;it g;omat indo
p;UrveByaH zatas;AH ;amqDraH
mqjyate eS;a v;izvAni
sah;asrA bqhat;IH ;iSaH
zumB;amAnAH qtAy;uBiH mqjy;amAnAH
siYcata sut;am s;omaH
v;i avy;ayam sam;ayA
sahasr;iZam ray;im p;avantAm
matsar;am ;avyaH v;AreSu
z;aMsam d;Evyam ca
nirZ;ijam p;avasva m;aDumattamaH
camv:oH sut;aH viz;Am
priy;eZa D;AmnA y;atra
;ava z;AdeSu gaCati
v;izve im;e s;aKAyaH
citr;aH ;avyayAni p;avyayA
zat;ayAmnA paT;A pr;a
aB;i tripqSW;am mat;ayaH
yAti niSkqt;am ;indrAya
iva tm;anA divy;AH
u ayAsIt ;induH
uzmasi pr;a s;omAsaH
n;a v;oXA svAyuD;aH
v;izve saj;oSasaH dev;AsaH
pr;a suvAn;aH ;induH
rocan;A kav;iH r;AjA
te sat;aH B;uvanasya
t;at naH mitr;aH
asya t;AnvA zudD;aH
kqDi ;indrAya indo
punIhi vizv;ataH triB;iH
sacate s;a Im
pav;itre D;ArayA sut;aH
indo suBv:am sup;ezasam
ray;iH v;i rAjati
prav;ataH Azata ut;a
akSAr samudr;am n;a
t;e asya santu
n;a s;aptiH s;amanA
;A adaDuH ;indrAya
sIdati reB;aH vanuSyate
devay;uH naH ;induH
s;anti y;Atave sah;asram
;adAByaH eS;a dev;aH
k;ozAsaH aBr;avarSAH v;qTA
Az;asaH pun;Ati te
n;a b;iBrat arSasi
drAp;im amuYcaTAH p;avamAna
sicyate ukT;EH yajY;eSu
n;a makS;u sumat;iH
vIt;I j;anasya divy;asya
s;a pUrvy;aH vasuv;it
v;izvasya B;uvanasya r;AjA
v;asUni DAraya s;oma
aps;AH ;indrAya vAy;ave
s;omam vizv;AcyA Diy;A
asqgram ;indavaH sut;AH
;induH hinvAn;aH arSati
vAy;ave triD;Atu m;aDu
s;attA ;A te
svADy:aH ;A pavasva
zrit;aH div;aH n;ABA
pav;itre ;aDi s;AnO
zaryah;A iva zur;uDaH
vAsayiSy;ase ;asya te
v;qSA daDanve puruv;AraH
bqh;at s;omaH vAvqDe
v;i rAjati dyum;An
jaW;are viza mah;An
v;ahantaH t;at s;am
Azata hit;AH n;a
pav;itre akSarat s;omaH
g;AvaH As;aBiH daD;uH
samudr;aH pit;A dev;AnAm
sv:ar hit;am t;asmin
;avarAn indo vAy;Un
;avyayAni p;avyayA g;aBastipUtaH
p;qTak Den;uH n;a
kav;iH ;indrAya pavate
s;omam v;iprAH mat;iBiH
kqp;A s;omAH zukr;AH
punAn;aH ;induH ;indram
;A sucet;unam ;A
;it varDantu naH
v;iDarmaZi ;akrAn dev;aH
somy;aH r;asaH ;induH
s;am I s;aKAyaH
;indram v;arDantaH apt;uraH
pary;akSarat s;Idan qt;asya
;ojasA pAh;i naH
;ojasA aB;i vraj;am
s;omaH ;ahnaH pratarIt;A
indo UrZuhi v;i
bqhat;IH rev;atIH ;iSaH
y;aH sUr;iSu zr;avaH
b;ADamAnaH m;qDaH ca
baBro ;UDani GqZ;A
Urm;ayaH t;arturAZAH pr;a
z;am g;ave DukS;asva
;azUzuBan am;qtAya m;aDvaH
naraH p;avamAnAya ;indave
v;qSZaH te v;qSZyam
v;akvA r;aTye y;aTA
aB;i vAvazre ;indum
tvA mah;IH ;anu
;akSitam p;AjaH ;A
j;ane v;izvAH ;apa
D;ArayA m;aDumAn Urm;iZA
dev;aH dev;AnAm j;anima
j;uSwaH adr;uhe vIt;I
h;ariH punAn;aH v;Acam
y;onim hiraZy;ayam Az;uH
y;onim v;anyam asadat
v;asUni saMj;ayan p;avasva
Az;avaH div;aH pqSW;am
s;am jAm;iBiH n;asate
daDiSe g;iraH ;asqgram
pUy;amAnaH aps;u sv;AdiSWaH
sAk;am Irate t;antum
;anti vA pr;a
pr;a s;omAsaH madacy;utaH
v;i ratnaD;AH dayate
;ut vqSAyate kqt;Ani
brahm;A sunv;antam iCati
pariy;Ati ;qkvaBiH sapt;AsyeBiH
t;eBiH naH soma
gir;A nenikt;e aps;u
suSwut;im ;ixAm asm;aByam
;indavaH ay;A pavasva
c;akSasA p;ari pAti
;indre daDAtana amitrah;A
asarat cam;USu z;akmanA
v;aram v;i y;aH
p;avatAm ;A ant;arikSyA
p;ari srava ;upa
arSa ;indrAya pIt;aye
y;at s;iSAsati s;omaH
rohasi dyum;An maG;onAm
sotAraH Danasp;qtam Az;um
y;e duHS;ahAsaH van;uSA
zatas;AH ;amqDraH sahasras;AH
D;ArayA ;indram v;arDantaH
puror;ucam yUy;am vay;am
y;at AsAm apIcy:am
m;atsi ;indram indo
s;omaH yAti v;icarSaZiH
pit;araH padajY;AH svarv;idaH
k;ozam n;i sIda
g;AvaH m;adAya G;qSvayaH
pr;a pyAyasva pr;a
;ApaH n;a prav;atA
;atyaH n;a h;itvA
pavate sumeD;AH Darm;A
hinv;anti y;Atave t;am
sv;AdiSWaH ;aVgiroByaH varivov;it
m;aDoH D;ArAm ;anu
iva p;avamAnaH sut;aH
dvay;IBiH sv;asqBiH kSeti
aMz;uH asmE p;avamAnaH
mAd;ayan d;Evyam j;anam
raGuj;AH iva tm;anA
;indo ray;im azv;inam
n;a j;Iyate h;anti
;iti y;aH te
y;aH ;indrasya hqdaMs;aniH
kal;aze vAvazAn;aH s;am
p;Atave n;qBiH yat;aH
bqh;at Az;uH pav;itre
s;Uryasya janit;A ;indrasya
anUSata z;izum rihanti
zrav;Ayyam y;aH p;aYca
kal;aze g;oBiH ajyase
kSeti jAm;iBiH n;qDUtaH
rakS;asam k;am cit
;anu pUrvy;aH n;qBiH
mitr;asya s;adaneSu sIdati
v;Ajam arSa ;indrAya
tir;aH r;ajAMsi ;aspqtaH
ayAsuH AVgUSy:am p;avamAnam
j;anima n;emam ;udyatam
pipy;uSI D;ArA sut;asya
dev;avAtam aps;u DUt;aH
naH ;indo ;indreZa
v;AjAya zr;avase D;iyam
nqc;akSasaH pit;araH g;arBam
jIv;ase anindy;aH vqj;ane
v;ahniH paTy:ABiH asyAn
d;Evyam j;anam ;A
sut;am soma m;adAmasi
qtAy;uBiH mqjy;amAnAH g;aBastyoH
D;ArayA pr;a s;omaH
j;anaH n;a pur;i
codaya pav;im prasav;e
p;qtanAsu z;atrUn ur;ugavyUtiH
Azata t;apoH pav;itram
iva suvrat;aH g;iraH
t;ava im;AH praj;AH
pav;itreZa sav;ena ca
dy;Am ;indrasya iva
;A uz;antam aMz;um
punAn;aH devAvy:aH naH
p;avamAnaH v;izvAni durit;A
soma p;ariSkqtaH ;indrAya
mAmqje tir;aH ;aZvAni
s;omaH gOr;I ;aDi
ut;a naH g;omatIH
r;ajaH s;omaH punAn;aH
;induH siSakti uS;asam
srava y;atra k;AmAH
aB;i vats;am n;a
k;anikradat n;qBiH yat;aH
pav;itram pariD;Avasi ;aram
parZ;eBiH zakun;AnAm kArmAr;aH
Az;uH pav;itre arSati
sam;asvaran zl;okayantrAsaH raBas;asya
k;armAZi c;akriH hant;A
dadmahe t;arat s;a
jAt;aH zriy;e ;A
mAt;qBiH n;a z;izuH
dev;AsaH ;indavaH p;avate
r;AjA pav;itram ;ati
pavate g;onyoGAH ;indre
;asarji r;aTyaH yaTA
;avye v;qSA z;oZaH
iva svan;aH p;avamAnasya
indo div;e-dive pur;UZi
sqjy;amAnaH s;Idan v;anasya
;indraH ;iti bruv;an
naH ukTy:aH ;avyaH
;iyarti s;omaH p;avamAnaH
pavasva y;aH ;AviTa
asvaran hinvat;IH sapt;a
cit p;arihvqtim vay;am
y;aH qSik;qt svarS;AH
sot;AraH oZy:oH r;asam
t;amAMsi jiGnase v;izvAni
;A v;ipram ;A
p;ari y;at kav;iH
;azvam rAsi vIr;avat
sukrato div;aH suparZ;aH
cit p;azyamAnAsaH ;Apyam
;A te d;akSam
z;izIte yUTy:aH v;qSA
s;omaH y;aH sukSitIn;Am
t;at sam;inakSantaH Azata
vivakti m;ahivrataH z;ucibanDuH
