nit;ozanam vqSaB;am
pUrv;IH z;acIvataH
t;atra s;adaH
j;AtavedaH aGAyat;aH
yoDiSwam aB;i
raBAmahe ;ut
madapatI madAnAm
svit ;indraH
v;izvAni vid;uSe
m;artam nazate
vaH viDat;e
yuv;oH r;aTaH
pit;araH dev;azatravaH
v;izvam s;a
s;a sADati
s;omasya pIt;aye
s;aH indrAvaruZO
ihi v;Am
zr;utyam rarATe
vqzca van;inam
dIdiv;AMsam ;upa
naH mqxAtaH
pUS;aZA vay;am
tasTuH qgm;iyam
purAj;AH pratn;AsaH
asmE pur;u
tuvikUrm;itamaH y;ayA
ranD;ayaH ay;am
navante t;ava
p;atmanA y;an
te ;avasA
;Anaw sam;iDA
r;itaH mah;IH
het;I r;akSaH
ca s;at
cit yataTaH
v;arAMsi t;A
DiyaMjinv;aH B;uvane
any;aH amqta
tanv:e BavAti
jarit;AraH Anaz;uH
uC;antI m;AnuSIH
BAn;unA pr;a
m;adan v;izve
y;uDyan tv;am
asm;E u
g;oSu ;upa
uS;asaH r;ocamAnAH
m;AnuSA yug;A
parvateSW;Am ;adroGavAcam
dqX;AH p;uraH
yajY;avqdDam y;asya
p;acat zat;am
k;im u
n;irqtim parAc;EH
arv;AV ;indra
ha y;at
matIn;Am ;indrAv;iSZU
indra pr;a
vAjas;Am ut;a
s;atpatim y;asya
jihv;ayA p;ari
rAt;iH eti
;avAtAH v;i
;ati D;anva
triMz;acCatam varm;iZaH
janit;ArA matIn;Am
brahmac;odanIm ;ArAm
jihv;A pApatIti
yuv;am sv:ar
v;ayaH v;apuSe
v;ahneH v;ipramanmanaH
v;aruZasya D;armaZA
pr;a tuvidyumn;asya
y;aH m;artyaH
kqZ;oti jihv;ayA
mahn;A n;u
sud;AnuH dUr;At
n;avInot v;qSA
UhaTuH r;ajoBiH
tv;am t;ugram
mAy;ABiH mAyinA
dyumn;ena zr;avasA
ev;a pAhi
;adabDAsaH ;amUrAH
tv;iSImantaH aDvar;asya
j;anam carati
s;ome ;A
y;at z;avasA
qtas;ApaH As;uH
saj;oSAH pAhi
n;qtamAsaH ary;aH
;udyataH saj;oSAH
p;ibatam somy;am
taraZe c;etyaH
;ABiH v;izvAH
urv;I pqTv;I
;upa id;am
Ayan v;EzvAnara
nayat p;ari
;atti vAy;uH
n;akiH tvA
iSir;aH baBUTa
vEzvAnar;asya v;imitAni
d;AsIH puruk;utsAya
vahantu pr;a
raGv;I sumIX;e
n;a muh;e
b;qsayasya mAy;inaH
c;etyaH BUH
rakSit;A pqkS;asya
te mahn;A
z;atroH-zatroH ;uttare
s;aKA m;ama
;A D;IH
gqZat;e yuvasva
z;ipravAn vqSaB;aH
ahatam nid;aH
iva v;izvA
zoc;iSA p;atman
;IxyaH s;an
t;apanti mA
dev;AH tv;at
pr;eSWAH pr;AtardaniH
AnAza suvqkt;im
huv;ema v;AjasAtaye
paz;uH n;a
s;ahasA vAjay;antA
varktam g;aviSwiSu
vIxit;A svojaH
br;ahma vAvqD;asva
raGup;atmajaMhAH s;aH
mAy;inaH ut;a
vizv;AyuH zay;aTe
s;a vajr;I
jAr;aH zqZotu
samAn;aH vAm
asti m;arutaH
satsi barh;iSi
y;at aB;i
dAz;uSe y;A
v;qSA rukS;aH
tv;ayA y;at
vart;iH dyum;atA
devi r;ocamAnA
suv;IrAH y;ajasva
n;iSattaH ;amartyaH
div;aH rarapze
n;arA nqtU
BAn;unA r;uzatA
Ayan y;asya
;AryAZi vqtr;A
v;ipraH gn;AH
pan;ayanti ;aBvam
v;ahniH As;A
BAs;A citr;aH
vanej;AH tigm;am
sv:arvat Dehi
;indrAviSZU p;ibatam
IzAnak;qt mahat;i
ahyan pIt;aye
tv;am B;agaH
tarema tv;am
;agne h;iraZyasaMdqzaH
j;anAn t;am
pAvak;aH purut;amaH
t;ABiH yAsi
juhut;e hav;iSmAn
vaH saKAyaH
uB;A dAt;ArO
j;anAn y;am
B;AmAsaH zuce
suvqkt;im t;e
y;am v;izve
pazus;ADanI t;asyAH
dravit;A cetati
tqSucy;avasaH juhv:aH
rAz;iH ajAzva
mAday;aDyE y;aH
BaraH yoD;am
v;iSUcIH ;AryAya
vocaH s;at
sunvat;aH vIt;am
;ekam kr;atum
azyAm pur;UZi
n;a t;ena
pr;a pUrvy;aH
vAm puruBujA
v;izve ;arpitaH
puruhUta y;otoH
j;anma gqZat;e
zr;oSi agne
indra ;agne
p;atataH parihr;ut
pat;ayatsu ant;ar
;upa yAhi
mah;e naH
