nit;ozanam vqSaB;am
zqZv;an v;iprasya
girvAhaH ;azvAH
iy;am p;UrvA
praj;AvatIH purur;UpAH
;azvA s;aptI
vij;ehamAnaH paraz;uH
astu aj;AzvaH
jagqB;aTuH ;anapinadDam
b;ADaH mar;utAm
s;iSAsan sv:ar
vEzvAnar;aH v;izvam
brahmaZaH kave
naH ;atra
agne B;AmAsaH
v;apanti v;iSitAsaH
IDe dasyuh;antamam
pIp;Aya sak;qt
;uSaH v;aram
bqh;at agne
;ati pr;a
h;arI ;aDi
h;arI v;i
ugr;am s;ahamAnam
c;akSuH dazasy;a
prad;ivaH sIdaH
pr;ayAMsi vIt;aye
y;ena tok;asya
p;arA ahan
vAm;asya h;i
v;ihAyAH ;agne
BUH varivasy;an
h;i sUno
et;am piba
joSavAk;am v;adataH
v;aSwi pr;a
raZv;aH vasat;iH
saKy;Aya svast;aye
Iyate qtay;ugBiH
n;a minanti
yAhi t;Uyam
dvib;arhAH amin;aH
d;azoZim t;Utujim
kSatr;am dev;AsaH
ay;am vAsayat
n;ayantIH v;i
mandasAn;aH ;avAsayaH
zat;A sah;asrA
n;i cit
dev;asya n;amasA
;aTa yajY;Aya
man;otA asy;AH
asya rAy;aH
s;ahaH pr;a
vEzvAnar;aH avatu
st;avat t;eSu
ev;a DiS;aZA
;ekaH samAn;e
Ijate z;UraH
vAm g;iraH
te sud;Anave
;upa gaCatam
vAm;A daDate
y;aH ;invati
rAy;aH s;aKAyam
uS;Asam ;ut
d;akSiZAm iyarti
vqD;antam m;Arutam
me ;indrAviSZU
ap;asaH samudr;am
viS;am eByaH
v;i ;indrAsomO
t;A sUr;iByaH
B;arAya n;a
y;ajasva hotar
v;aMsat ray;im
eS;A sy;A
DiSaZe s;a
s;anti ;agne
n;a madir;am
v;i jay;uSA
n;araH yajY;asya
n;AnadadBiH y;aviSWaH
akt;aH v;acoBiH
dev;am m;artaH
dyumn;am sv:arvat
g;avyeBiH ;azvyEH
zoc;iSA tatAna
agne yuvase
jaW;aram pqZeTAm
stuSe ;indram
yajY;EH mah;An
yajatra y;akSat
puruhUt;aH ;indraH
duhr;e z;ucayaH
sUn;um ;aCa
;adrim p;ari
s;avratA Gqt;ena
pqT;Uni agn;iH
;ava gir;eH
DAn;AH ;indram
maTAy;an pr;a
;it ;astA
n;u asti
mandAn;aH ;anDasaH
n;a k;qtvyaH
v;i div;aH
r;akSa ca
vocA sut;eSu
raZv;aH pur;i
t;ava gop;ABiH
tuviv;AjeBiH arv;Ak
dAH tv;Am
iva jAray;Ayi
aB;i kS;Am
t;A huve
v;iSurUpAZi s;avratA
citr;am cit;ayantam
itT;A v;adadBiH
te aDvary;uH
z;aMtamAni r;AZxyA
s;UryaH ut;a
vAvqDe vIry:Aya
pqZat;e ca
juS;asva naH
cit niv;idaH
h;avate sv:arvAn
Erayatam nad;InAm
vand;Aru v;edyaH
;it s;a
rur;oja ;aDvAnayat
;acyutA ;agne
adBy;aH samudr;At
n;a saMskqtatr;am
;it ugr;AH
B;Ut t;at
t;anaye y;at
yajY;aH tanv:e
dev;avItaye pr;ati
s;A ;it
;amUrAH t;A
kAr;uDAyAH vAj;I
mah;aH mah;I
jarit;Aram Ut;I
ulok;am s;a
n;AvaH ant;ar
raTy:am aDvar;AZAm
u te
k;im v;ayaH
suprapAZ;e p;ibantIH
ay;am dyotayat
rudr;asya sUn;um
Den;u p;atyamAnam
;adButaH antarv;Avat
agn;iBiH m;anuSaH
muSwih;A g;oSu
s;am ahyan
sahasr;iZam v;EzvAnara
m;ahi jajYAn;am
;astAri barh;iH
indra s;antam
jAnAti ;otum
cayiSwam ;aMhaH
suvati B;Uri
zv;aH div;e-dive
p;anyasA ca
n;a daBAti
badD;am kqt;am
aB;i pr;ayaH
asya m;anman
s;ome Bar;advAjeSu
m;ade k;im
z;azvat ;azvEH
t;at yayuH
k;utsAya s;Uryasya
avasp;arat y;asya
t;at cikit;uSe
upap;arcanam As;u
;ataH naH
n;avantam ;ahim
y;ena ;avaDIH
agne s;aMdqSwiH
prayajyo jarit;AraH
vacoy;ujA vahataH
;indram v;epI
samasya h;qdayam
any;ena p;azyan
DqSat;A nineTa
DqSZ;uSeZAH uB;e
ukT;e y;at
huvat;aH huvAn;aH
sukr;atuH vEzvAnar;aH
y;asya mandAn;aH
y;at vA
dad;Aza v;ipraH
zur;uDaH n;a
iSir;EH zay;aDyE
n;amoBiH agne
ahan atiTigv;Aya
muSAyati B;Uyo-BUyaH
;indraH pur;Am
harivaH sTAtar
mah;Am ugr;am
y;asya pan;ayanti
gamBIr;e cit
v;eviSataH purAj;AH
ca sarv;atAtaye
v;apuSe ;anu
diDiS;um abravam
s;ADan n;a
gahi zqZv;antam
kSatrazr;IH astu
g;avAm ;it
vaso s;adam
st;omavAhAH ;asmE
y;ajIyAn ;agne
agn;iH tod;asya
akt;oH v;arDAn
duhit;A divoj;AH
t;aturim parvateSW;Am
B;asat ;azvaH
sAt;A g;omataH
eByaH indrAvaruZA
barhaya praj;Am
s;Anum paZ;In
suvqkt;iH ;amyakSi
iDAn;aH rAy;aH
pr;ayaH nAsatyA
n;Qn qc;ase
dy;AvA hotr;Aya
g;AvaH B;agaH
;AGqZe s;am
Ut;iBiH ut;a
pr;ati r;odasI
k;im svit
sv;am n;apAtam
ajIgar y;A
indra het;I
naH brahmaZaH
pr;ayukti ;A
vaso ;aTa
s;at t;e
G;oSAt ;indrasya
me uB;A
t;am vqD;antam
sqjAn;A z;Urasya
arvan n;idAyAH
van;inaH n;a
aB;i g;AH
uttar;At aDar;At
v;epiSWaH ;aVgirasAm
tvA iy;am
naH ;anu
yuvay;uH vavanda
s;aKAyam Imahe
aB;i tqnDi
t;am k;Amam
As;uH ;anedyAH
z;arDate d;asyujUtAya
Avav;artat t;A
mUrDn;aH v;izvasya
naH prad;ivaH
raTeSW;Am aj;aram
ady;a tvA
;indraH s;at
bAh;U ayaMsta
tarema pr;a
v;arpaH asya
rayiv;ataH ca
h;i cakqS;e
cak;Ara s;a
ap;aH suprapAZ;e
k;utsam y;at
naH goS;aZim
d;asAya s;a
cit g;omataH
tvAy;A v;asUni
;iryam ;anaSwavedasam
j;UryaH sUn;uH
varDAse ;induBiH
tv;am v;izaH
naH ;amartyaH
yuv;am r;ADoBiH
pr;a zyen;aH
z;atravaH Biy;A
sug;A ut;a
s;omeBiH somap;Atamam
s;aKAyO dev;O
;agne asm;e
h;otA v;izveSAm
bqhat;A rocan;ena
havy;adAtim y;aH
gqZat;e pratna
;agne paz;uH
;astA iva
;atiTim j;anAnAm
sahasaH gIrB;iH
div;aH n;Qn
praty;etana s;omeBiH
cakr;e agn;iH
tv;am eSAm
nqS;ahye ev;a
cit ;A
BAn;unA p;ArTivAni
y;aH ev;a
kIst;AsaH B;arante
n;i barhaya
iva naH
ca m;artaH
cat;inam asya
n;a ;antaraH
;aBvam vAm;am
agne t;ava
k;aH ark;aH
;aviDat n;a
v;asumantam purukS;um
yatema ;A
sut;am ;indraH
nid;aH dev;aH
vqtr;am ap;aH
s;Uryasya r;aTam
mah;aH tod;asya
dyum;atA ;A
v;iprAH Ixate
s;a j;AyamAnaH
r;ADasaH sah;a
zriy;A tanv:am
B;arata vasuv;ittamam
n;AsatyA vav;arta
r;AyaH asmin
vAm ;anu
daDir;e pAvak;e
ant;arikSam v;arIyaH
z;ikSan tv;am
suv;IrA ;agne
;ekaH ajury;aH
tvA daDy;aV
ady;a id;A
t;amaH ;UrmyAyAH
y;ajaDyE ay;am
tvA z;avasA
;ajasreZa d;avidyutat
astu yuSm;e
;indram aB;i
te dAtr;AZi
iva arujat
h;iraZyapAZiH pratidoS;am
h;iraZyajihvaH suvit;Aya
jAr;aH ucy;ate
tuvijAt;asya m;anye
rakS;asaH v;i
yaz;asam Dehi
m;artyAya maG;onIH
drAvayati d;Aru
n;araH ;ApaH
n;a asya
cakAn;A v;ajreZa
vqSaB;aH y;aH
te s;omaH
;agne y;ajasva
dev;atAtA yajY;eBiH
huve y;ayoH
ay;am akt;oH
jUrva s;a
;IxyaH rIt;iH
;asat br;ahmAZi
v;asunaH ca
dy;OH iva
mat;iBiH y;aviSWam
agne yajY;AnAm
y;aH gotraB;it
sut;eSu s;omeBiH
;ajAmayaH arvAcIn;AsaH
B;ArataH vqtrah;A
bAh;U hiraZy;ayA
;aMhaH m;aDye
rAt;iH astu
s;a s;atpatiH
n;ahuSA zaviSWa
y;AH g;AvaH
yajY;eBiH sUno
z;aMsate stuvat;e
yuv;am z;uSmam
Izata ;ut
vraj;An g;omataH
;atiTiH jAt;avedAH
astu samAn;am
d;aDAne yajY;am
tv;am D;uniH
yujanta r;odasI
p;arAcaH z;UraH
m;artyaH d;uvaH
maG;avA dasm;avarcAH
jy;otiSA agn;iH
ugra t;ardaH
h;i ;anu
DAr;ayeTAm asury:am
aG;am daDAta
gir;e dAt
agne t;amasi
saDam;AdaH vahantu
;ojiSWam ;ojaH
p;iba vay;am
vAm qj;ave
p;aYca jAt;A
Card;iSaH aB;iSwO
z;eSaH v;ajrasya
any;AH ap;asAm
m;aDumattamasya v;qSZaH
v;ajram sah;asraBqSwim
c;anaH DAt
;ahrutaH tveS;aH
;it ;A
;A s;omam
vav;arta pr;eSWA
s;u ;apAkaH
D;Ivato-DIvataH s;aKA
janAsaH ;indra
vIr;AsaH aBimAtiS;AhaH
daDiS;e z;avaH
havy;Ani ;A
n;a y;am
naya ;aditsantam
pqTiv;I maK;eByaH
y;A naH
y;atra v;arivaH
br;ahma g;iraH
tatanv;at s;UryeZa
naH p;Urve
v;i sUr;In
zUS;EH agn;iH
y;e mIX;uSaH
ca ;ati
pUrv;IH uS;asaH
s;a m;artyeSu
up;asTe mahiS;AH
uruSy;ati sah;AvA
mah;An ;indraH
sah;asraBaram urvarAs;Am
visr;uhaH v;i
;oSaDIH aviS;A
s;omaH tanv:e
yoDat ;indraH
vaMsIm;ahi vAm;am
Diy;A param;ayA
can;a pr;a
;indraH aBy;ohasAnam
putr;AH v;i
s;am y;A
te m;adaH
g;AH vaD;UmataH
DqSZ;um y;at
mitr;am ;indram
d;aDAnA s;am
z;am v;arAya
urviy;A v;i
purusp;qhaH niy;utaH
indra vqtrah;atye
v;icarSaZe jah;i
ukT;eBiH indra
p;ari ;adrim
;indre zl;okaH
aCAn g;AvaH
n;a DqSZ;uH
vAm indrAgnI
vanuSyat;Am ;api
g;AvaH s;omasya
te y;am
tvA p;AjaH
z;arave p;atyamAnAH
c;aranti t;ABiH
g;ayaH ;atyaH
v;AjasAtaye Diy;e
arcatry:aH maG;avA
tv;am kav;im
t;atra pUS;A
r;odasyoH uttAn;ahastaH
;ava atirat
v;astoH ;A
tv;AvAn any;aH
pIt;aye s;am
m;ahoBiH v;ahanti
y;aTA jaritr;e
ap;aH D;anvAni
suSwut;iBiH vAj;ayantaH
;A vqtrahaZA
iva y;antam
samudr;At t;ugrasya
D;unayaH n;a
r;uzantam agn;im
n;AhuSAZi s;a
vartam gqZat;e
doh;ase cit
n;a y;eSu
agn;O sut;e
asury:am pr;a
y;adi te
;aDa jihv;A
cit t;at
qjIS;I bqh;adreZuH
y;AdamAnAH z;aviSWam
vAj;inA pUt;abanDU
cikit;uSe r;aZAya
v;idAnaH y;e
san;aye D;anAnAm
;qSiH putr;aH
aB;iBUtyojAH vanv;an
druh;aH ;apa
te m;artAH
vIt;aye gqZAn;aH
aYj;anti supray;asam
mah;aH ugra
reB;aH n;a
pAr;e asy;a
Ut;iBiH ;adabDeBiH
samasya n;a
s;ahasaH sUn;um
uS;asaH indra
dAs;asya n;amuceH
te yajY;ena
n;avagvAH v;anA
Ut;I ;anUtI
n;ikAmam ar;amaZasam
carSaZ;ayaH y;at
ihi y;ajamAnasya
p;atyamAnAH ;avaH
r;AjA aBavat
vAj;I havate
mandr;ABiH aDvar;e
;anu pr;a
ary;aH ;arAtayaH
tatAna ;A
ugr;AH z;avasA
sapt;a r;atnA
asuraGn;aH t;am
Badr;A dadqkSe
h;avanAya asm;E
h;otAram Ixate
avatu Ut;aye
h;otAram satyay;ajam
aDatta v;qSZyam
UrDv;aH vAm
didy;ut tqSucy;avasaH
;arcAmasi vIra
r;aTam vizv;avAram
ca tArIH
mah;e indriy;Aya
kqt;A upast;utyA
;amartyaH tanv:A
v;izvasya dvip;adaH
z;ozucan iDAn;AH
n;akiH ;A
dev;aH ;A
kqtno ;akqtam
;agne v;ocaH
v;i BAs;A
yujAn;AH zriy;e
Kajak;qt sam;advA
saKy;Aya zamB;uvA
h;avam gqZat;aH
eti jUrZ;inI
suDy:aH n;avyam
invatAm ;ut
dqX;asya cit
v;Avadat c;arat
ucyate saB;Asu
d;asyUn ;ekaH
D;unim ca
st;omeBiH ukT;EH
suvit;Aya mah;e
niS;adya ;aTa
m;ahi t;at
svast;i t;ava
B;uvanA ;aDi
zUS;am Gqt;am
u n;u
h;otA gUrt;amanAH
yajY;iyAnAm y;A
BArata dyum;at
svaDvar;am pr;a
s;anti j;anAn
gUrt;amanAH urAZ;aH
pqTivy;AH n;a
;A riKa
v;eSi h;i
naH pUS;A
;aram v;ahanti
maG;onIH vIr;avat
vAm iSw;ayaH
gqZAn;aH ;anu
div;e-dive vAm;am
svaDAvaH im;e
t;An brahmadv;iSe
g;Am ;iti
gaCatam narA
pr;ayasvantaH sahaskqta
ay;A Diy;A
yaCatam ray;im
suSwut;im y;asyAH
v;asu vIr;am
BAnti uS;asaH
j;anAn im;am
Br;AtarA yuv;am
;A Im
cit v;i
sma asya
uzat;A yayATa
ih;a vajr;iZA
devA Bas;aTaH
sut;arAH ap;aH
g;oqjIkam indra
asm;e B;Uri
viDat;aH n;avInot
vAm st;avat
y;aH idD;e
t;ava jy;AyaH
hotr;Aya pqTiv;I
suBaga s;OBagAni
h;i mandr;atamam
AcaK;Ada avas;am
any;aH z;avasA
;anu prav;ataH
vA g;oSu
;A r;odasI
pr;a Avat
paTy:AH r;AyaH
avartr;aH ;oSaDISu
r;ajAMsi ;indrAviSZU
h;an d;AsIH
h;avante vqtr;e
tv;e ray;im
n;a p;atyase
kr;atuBiH amqtatv;am
v;iSitaH D;avIyAn
dUt;aH ca
kr;atum sud;AnavaH
;aMhasaH j;AtavedaH
r;aTam n;a
vAvqDAn;am ;akavArim
p;atyamAnAH p;AtrA
v;oXA sug;A
sarasvati iy;am
eDi p;Arye
pqcyatAm ;upa
d;ivA n;Qn
;amaH c;arati
iC;amAnaH pUS;A
p;Arye y;at
v;asUni y;aH
r;AjA AsasrAZ;AsaH
k;am sv:ar
vay;am jayema
ranDaya ;A
BUt ;indram
qc;A hav;iH
n;amasA ;A
gman vqt;A
;indavaH sut;AsaH
v;eda n;amoBiH
am;qtam m;artyeSu
ant;ar n;i
jAm;ayaH ut;a
;aMhaH m;artam
azy;Ama dyumn;am
;anDasaH v;arIman
ugr;AH aspqDran
y;aH tat;anTa
tv;am pracetaH
sumn;am ;ojaH
aB;i naH
Bar;advAjeSu daDiSe
;A mimikSuH
niy;utvAn saj;oSAH
vqSaB;am carSaZIn;Am
;iSam ;Urjam
astu anazv;aH
asti n;a
r;aTaH iva
;aDa tvA
samasya j;enyasya
y;ajaDyE ;A
zAri k;evawe
tveSasaMdqk DiSv;a
;aDvaryo pr;a
v;adadBiH val;am
purudatra mAy;AH
;aganma z;arma
v;i AnuS;ak
kS;Am ap;aH
sumat;O yatema
n;a z;uci
naH citr;am
kqDi tvAyat;aH
u zv;aH
s;am navanta
qt;AvarI ;atan
;A vavqtsva
y;aH akt;oH
;Ahitam y;at
;api syAt
y;aTA hotar
viDat;e maGoni
cit urv;I
kSit;iByaH av;anIH
admas;advA cakr;e
indrAvaruZA ray;iH
s;qYjayAya turv;azam
s;acA s;omeSu
san;ema te
usr;AH zoc;iSA
Av;ivAsati sumn;am
durit;A damB;ayat
;qSiH agn;im
zun;am Ij;e
rAy;A t;uvidyumna
y;A mahimn;A
yajat;aH mandr;ajihvaH
prasav;e ca
kapard;inam ;IzAnam
v;asUni rAjan
citrarAtI kv:a
v;ayaH ;azvAsaH
saj;oSaH tvA
v;arIyaH ;apraTatam
tuvimrakS;aH nadanum;An
dy;AvApqTiv;I v;aruZasya
hqd;A taSw;am
pratn;A te
n;araH saKy;Aya
gqZAn;A y;aTA
agne pqTiv;I
qc;ase rirIhi
tigm;AyuDO tigm;ahetI
agne uz;an
v;AjavatIH ;iSaH
yuv;am mah;Ani
maniSye v;izve
iva kSayasi
;OrZoH d;uraH
maK;aH y;uvA
zamBuvA sut;am
yajatra ;indra
p;ariSWitam asqjaH
n;a m;iTu
n;iH amanTata
vAm;am ady;a
ArdayaH n;IcIH
n;a z;uSkam
;indra jAm;ayaH
dev;aH vid;aTA
;api zIrS;A
syAma v;asunaH
ugr;aH IzAnak;qt
BAhi nqv;at
t;am u
bqhat;aH div;aH
vid;aTA m;artyeSu
asya y;Ani
kSeSi ant;ar
mandr;atamaH naH
aMz;um asmE
yajY;EH ;aDa
s;am piZak
agn;A y;aH
Bara araMgam;Aya
rayIZ;Am s;aH
h;i tanvat;e
n;amoBiH v;izvA
dyumn;am ajara
;A pqZasva
sAt;aye DAt
;adaduH sUry;AyE
y;at ady;a
v;asu agn;iH
g;aBastyoH sTUr;ayoH
aj;aram te
yajY;asya bqhat;aH
sas;antam pqZ;ak
veD;astamaH ;qSiH
n;i jUrva
pAhi riS;aH
ugr;am ;avase
ca zravasy:aH
dayate v;asUni
dr;oZe ajy;ase
m;anurhitaH v;ahniH
vaH het;iH
y;A razm;A
;ati srasema
v;i vqhatam
mat;iBiH viviSmaH
n;amasA rAt;ahavyAH
;aTa ;ariSwABiH
z;ambaram z;uSZam
z;avasA DqSZ;uSeZAH
indra t;ava
ant;ar ;indrAsomA
tv;am t;at
indriy;am aceti
m;Arutam Br;AjadqSwim
ca sma
DqSZo ;apa
v;Ajam ;indrA
dy;AvApqTiv;I mimikSatAm
y;at p;ayaH
vqtrahaZA vqtrah;aBiH
pr;a y;A
y;azaH ;agne
puSw;im UhaTuH
s;a bADasva
n;u cit
z;aviSWam t;am
varD;aya ;ixAm
s;ahasaH qt;AvA
t;UtujAnaH ;apAt
ugra y;asya
par;aH any;ena
ark;EH im;A
j;anAn zruDIyat;aH
ziv;eBiH ady;a
;azvAH aB;i
yajY;am ;A
Ay;um n;a
;indraH svaBiSw;isumnaH
D;anyA cit
ut;a pr;a
indrAvaruZA gqZAn;A
Bara sut;am
sut;aH s;omaH
ut;a dvib;arhAH
n;a mqSyante
;agne s;a
any;at u
z;avasaH DAyi
dvay;An agne
putr;AH y;An
yakSat pratn;aH
ErayeTAm Gqt;avatI
p;Arye ;ahan
ap;aH pariSW;Am
naH mitrAvaruZO
c;andra candr;ABiH
zat;inam sahasr;iZam
;A agn;iH
;indra yAt;am
jarit;AraH aB;i
yuyujr;e tv;am
nAsatyA vahantu
;asi priy;aH
;indrasya ca
r;uzat citr;Asu
m;Avate vahaTa
cAyamAn;aH dadAti
tv;otaH asm;E
z;ikvasaH v;eSi
y;at BUT;aH
tvAyat;A m;anasA
dAt;A v;ajrahastaH
s;arvasenA t;A
p;arSi pAr;aya
y;asmin s;am
vahasi B;Uri
suv;Iryam tv;Am
jy;ok ;it
j;anAnAm As;an
t;At tvA
v;i tv;at
d;avidyutat z;oca
vivAse y;A
Ay;oH t;A
;indraH vqtr;am
dvib;arhajmA prAGarmas;at
;anDAMsi madir;AZi
d;asyUn p;AtA
nqv;ataH purukS;oH
dUt;aH ;amartyaH
z;uSmAt svan;At
agn;eH arc;atrayaH
agman ut;a
m;A tv;at
s;acA ahan
;upa ;it
qt;asya ;asi
div;aH r;ohAMsi
yajY;iyAnAm yuv;am
indra tUtoH
D;unIc;umurI y;A
et;ari n;a
aj;AsaH pUS;aZam
t;Ani vrat;Ani
saj;oSAH d;eva
v;aktvAni par;aH
r;AjA ;ava
kqt;am indrAgn;I
m;anurhitam y;aH
t;amAMsi akt;aH
irajy;antA vasavy:asya
;indraH maG;onAm
m;AsAH n;a
ev;a id;am
viTur;A z;avAMsi
;ABqtA tqX;A
r;ajasaH mitr;aH
te p;AdA
vIt;aye ;A
v;anA vananti
kr;atvA n;a
n;ihatasya z;uSmAt
s;a janAsaH
t;anayasya sAt;O
s;a k;uha
uSAsaH id;A
Diy;e pUSan
nqmZ;am ay;oH
te DUm;aH
s;am y;O
s;a vAm;A
bqhat;A tv;otAH
sut;eBiH ;induBiH
D;iyam juj;oSa
z;avasA d;akSiZAvAn
v;ajrasya y;at
y;am aps;u
te Badr;AyAm
te tuvijAt;asya
pur;astAt ;A
m;ade d;ivodAsAya
any;An suv;IryeBiH
sah;asrA zUra
Gqt;ena varDayAmasi
;ahim s;am
vasavya:iH ;upa
st;omaH ;aDi
iva pazv;aH
matIn;Am s;am
y;aH am;qtaH
v;i r;odasI
;indrAv;aruZO iS;e
;enaH asm;at
ady;a cit
BiyAn;AH tv;Am
s;omam dad;iH
dev;azatravaH ;indrAgnI
d;akSiZam p;unar
pr;a praj;ABiH
indra v;izvam
tv;am t;am
naH v;apuH
rodasI m;artaH
av;oH itT;A
jayema zat;inam
karamB;At ;iti
ty;ajasA m;artyasya
anant;aH ;ahrutaH
mimikS;uH ;A
p;arvatasya r;AjA
duSk;qtam m;artaH
st;avAnaH ;ahar
h;avAmahe t;anaye
bADeTAm n;irqtim
tqnDi t;e
d;uraH v;iSUcIH
tasTO puruBujA
s;aptI iva
v;ajrahastaH ;asti
rAy;e cit;ayantaH
gqh;An aBiz;Asati
;indraH mitr;aH
GqtAnnO astu
pratn;aTA m;andatu
h;arI any;asya
y;akSat rAjan
yajY;eSu yajY;iyam
t;ayA pAhi
hiraZy;ayAsaH eSAm
indra te
zr;avaH v;Ajam
tvA mah;Antam
s;aKAyaH y;e
pUSan ;ArayA
c;iketat gamBIr;Aya
sahasaH puSy;ase
pr;acetAH rAy;A
n;i dIDar
vIt;am havy;Ani
aGAyat;aH r;akSa
avartayat vEzvAnar;aH
vqtr;am amitr;iyA
tasT;O ray;iH
h;ariByAm b;iBrat
goSW;e raZ;ayantu
y;aH ;Ahutim
stuS;e n;arA
z;aMsaH nar;Am
zrut;am h;avam
asravaH vAjinIvati
D;anvAni ;ati
n;akiH dadqze
pAr;aya turv;azam
jy;otiH h;qdaye
m;ade dqX;AH
dev;An ;agne
v;i id;am
m;anum cakr;uH
daMs;anABiH Am;Asu
n;a vajrin
;astqtaH s;a
sma m;Avate
maG;avA m;ahyam
vEzvAnar;Aya mat;iH
gatam asy;a
y;A v;ariSWA
uB;ayasya rAjan
m;aDvaH Urm;im
v;izve pur;aH
araMgam;Aya j;agmaye
t;anayam vAj;i
h;qdayam ;A
pqTivi BUtam
vaz;AsaH aBiS;AcaH
can;a stot;AraH
juS;asva havy;am
dAz;uSe uSAsaH
zUS;EH sumn;eBiH
p;atyamAnam m;arteSu
DakSi az;aniH
zrIB;iH darzat;ABiH
gatam p;ibatam
maMh;anA darzat;A
;indraH sut;e
m;anasA johavImi
asmE s;amidDe
;indrAvaruZA m;aDumattamasya
n;aryA mimikS;uH
v;arate n;a
vraj;am d;artA
mahitvan;A vanv;an
y;aTA sut;eSu
u stuSe
vAj;I stut;aH
sumnAy;uH juhv;e
gavy;uH eS;a
g;irvAhasam gIrB;iH
s;ahoBiH asmadry:ak
p;arvateSu avAt;e
Ar;eaGAm ;upAvasum
br;avAZi te
asmin mah;An
pr;a mah;aH
sUr;iBiH AnazyAm
naH asy;a
v;iSZunA sacAn;aH
jAt;Ani aB;i
zuSmin ;asti
yaviSWya s;a
;upa sqjE
z;Urasya iva
rAy;aH Imahe
dqX;Ani d;ardrat
k;araH y;atra
suSwut;im tv;Am
many;um indra
dr;aviZAni pr;acetAH
deSZ;am Den;um
zr;eSWe syAma
indra m;adAya
s;am etu
vidv;An v;izveBiH
;anu dy;Un
yajY;iyAni Badr;AyAm
pUS;A sub;anDuH
cariSZ;uH arZav;aH
g;avi s;UraH
D;ane hit;e
yuv;am aVg;a
;atra n;arA
taSw;am BarAmasi
ca pqTiv;I
pUS;aZam yuvAmahe
sapt;a visr;uhaH
vay;am d;ame
s;atvA purumAy;aH
darzat;A BUH
pUSan asi
v;ipraH v;i
yanti t;AH
s;anti sp;azaH
vrat;Ani agn;iH
;amartyaH ;A
avayun;am tatanv;at
m;artyAya eS;A
div;aH vqSw;iH
akS;are s;Idan
;anaSwavedasam ;IzAnam
yuvAmahe aB;IzUn
t;uvidyumna tuviv;AjeBiH
samiT;e h;avante
pakv;A zAZx;aH
;AryAya ;asti
r;akSa m;AkiH
;asya piba
;asti tan;USu
jaritr;e ut;a
pazc;At ;A
vIr;avat p;atyamAnAH
v;qSaZam yun;ajan
s;adma s;aBqtayaH
pUrvy;AZi vadm;A
div;aH arat;im
Imahe ut;a
Badr;AyAm sumat;O
daDase ;uttaram
vAs;ayaTaH uS;Asam
;indrAviSZU saDam;AdaH
te ;apa
indrAgn;I t;A
zr;avaH v;aso
m;ahi vqt;am
y;adi vitantas;Ete
patayataH v;i
iva pr;ati
Dattam ;ava
pqT;U kar;asnA
dev;A havAmahe
ugra ;ABiH
te ugra
kqt;am ;enaH
r;ohAMsi aruhat
ca r;asAH
g;AvaH agman
v;ariSWA y;ayA
dev;An j;anma
kS;Am ;ut
kSAt;iH agn;eH
v;i dasyet
ur;u v;arAMsi
v;iSitAsaH ;azvAH
vizv;avAram te
tv;Am vqtr;eSu
divy;AH n;avagvAH
indra pUrvy;aH
havy;adAtaye n;i
raj;im p;iWInase
azrIr;am cit
suraB;im dqz;e
vaH Diy;A
hat;aH d;AsAni
mAd;ayasva sut;eSu
j;anaH sumnAy;uH
agn;iH vand;Aru
s;adanam rayIZ;Am
arcanti ark;EH
p;urayasya raGv;I
pqkS;aH iS;iDaH
ar;aye j;asuraye
urv;arAsu br;avEte
qt;e ;A
pqT;uH s;ukqtaH
v;acase ;AnavAya
pr;etISaZim iS;ayantam
Diy;A m;artaH
az;uSasya mAy;AH
mAy;AH agn;iH
ha dev;I
v;asvI d;akSiZA
kqZavase nah;i
can;a ;indrAgnI
pATy;aH v;qSA
puruhUta veDaH
yakSi dev;An
any;aH vqj;aneSu
d;Azati tm;an
vAm Card;iSaH
pibatam m;adyam
;aDa dy;OH
deva B;UreH
pratnav;at paritaMsay;aDyE
y;at m;anurhitam
rArapIti mitr;amahAH
dIDar v;izve
kqt;am tav;asam
te any;at
pratn;am pratnav;at
z;uSmam indra
vAm agn;iH
tvA div;aH
h;aniSWaH astu
t;amAMsi n;a
;anu rAt;im
AGqZe p;USan
;oSaDISu s;a
bqh;antam qSv;am
aBavat m;aDunaH
s;antaH avady;Ani
v;izve amqta
m;qDaH indrAgn;I
v;izvA jAt;Ani
pUSZ;aH cakr;am
B;AsAMsi vaste
v;asuH z;aMsaH
juSasva jarit;uH
;it h;avyaH
;avareZa pitr;A
D;Ama yuv;aDitA
uzAn;aH p;ari
etu arv;AV
aVg;a t;arutram
y;antam bah;uBiH
avady;Ani punAn;AH
tur;asya ugr;am
ap;Am up;asTe
aBid;Asat agne
;api v;asu
rAy;aH vizv;avArasya
t;amAMsi ahatam
y;e ;azramAsaH
indra sumn;am
;apaspqDeTAm treD;A
dur;evaH ;A
srut;ayaH saMc;araZIH
uSasaH m;artyAya
vaH v;ayaH
AsasrAZ;AsaH zavasAn;am
Gor;A h;iraZyavartaniH
qj;izvane dAtr;am
;indrA n;u
ukT;A ;indrAya
te g;AvaH
inoSi viDat;e
v;izvAH ;apa
;ariSaZyan akt;oH
;antaH z;avasaH
viz;Am agn;im
savit;A supr;atIkA
anavas;aH anaBIz;uH
;A h;i
agn;iH n;a
k;araH vajrin
aByAvart;ine cAyamAn;Aya
mitrAvaruZA suzast;i
baBUv;atuH gqZat;e
ut;a durg;eSu
y;A ha
