asi mahat;aH
dAtr;asya dAt;A
mah;e mad;intamasya
mat;ayaH s;am
p;ari DAva
vizv;AyuH v;izvAH
dizAm pate
zrIZAn;AH aps;u
n;a p;atvA
d;EvIH ;anu
vrat;am ;anu
D;ArayA mandr;ayA
asy;a vqtrahan
zr;avaH vidaH
DarZas;im dUt;am
asya param;e
ar;iH h;i
t;uByam sunve
gqh;am Gqt;am
p;avasva v;AjasAtaye
giriSW;Am aps;u
biBarti B;uvanAni
pr;a svAn;AsaH
sumat;im yAti
m;aDumAn astu
suv;Iryam asm;e
k;armaBiH ;A
kqZv;antaH v;arivaH
Gqt;avantam As;adam
sot;qBiH ;aDi
pr;a senAn;IH
zumB;amAnAH qtAy;uBiH
v;oXA raG;uvartaniH
aMz;uH pav;itre
;iSam ;IzAnaH
vipazc;ite p;avamAnAya
n;qBiH am;qtaH
barh;iSi priy;am
s;aKA iva
ukS;aZam hiraZyapAv;AH
devAH punIt;a
agqBZan t;am
asaran punAn;AH
v;i k;ozam
ca p;avamAna
D;Ama g;onAm
;indrAya maMh;anA
stan;ayantI aBr;EH
;AyuDA saMz;izAnaH
dev;Aya j;anmane
vAj;I zuBr;eBiH
BUrid;AByaH cit
pratn;am n;i
enam ;ahrutAH
vqtrahan v;aso
s;oma vrat;eSu
aB;i g;AvaH
s;am dev;EH
ugr;AZAm indo
mantrak;qtAm st;omEH
mIX;e s;aptiH
g;oH sah;asram
madiSWa vIt;aye
aruS;aH v;qSA
Az;avaH m;aDoH
B;agAya vAy;ave
vAj;inam mqj;anti
pIt;aye aB;i
t;ena naH
Ay;avaH v;qTA
amatsata y;adi
asm;aByam ;arAvA
s;Idan mqg;aH
mAt;qBiH ;induH
pr;a punAn;asya
niy;utvAn m;aDvaH
Ap;qCyam Dar;uZam
h;iraZyavat kS;ara
ukS;A m;aDupqSWam
m;AnuSIH ap;aH
jyot;IraTaH pavate
s;omaH dev;aH
pIt;aye t;asya
;aviBiH g;oBiH
qZvanti kAr;avaH
sot;qBiH pUyate
;upa asmE
sut;am s;oma
r;odasI mAt;arA
v;astrA raBas;Ani
n;a s;inDuH
s;ahamAnaH pqtany;Un
g;AvaH Den;avaH
znaTiSwana s;aKAyaH
svarv;idaH t;arat
vqSaZyati n;aktoS;AsA
div;e-dive ay;am
z;atrUn aB;i
Irate tisr;aH
rUp;AZi Aviz;an
;indrAya indo
mqjy;ate g;oBiH
kart;am ;ava
;azvaH v;oXA
s;omaH divy;Ani
sp;azaH sv;aYcaH
citr;atamam pavasva
m;aDvaH s;Udam
sut;aH vid;e
tvA d;aza
c;etasA mqz;ase
pr;a zukr;AsaH
v;iDarmaZi tv;am
viGn;an ;aDi
soma pavamAna
suSvAZ;aH ;adriBiH
p;ari v;izvAni
pazyate j;AH
n;araH s;anIxABiH
k;Ucit sat;IH
sah;asraDAraH tir;aH
sut;aH s;ana
j;anmane svAd;uH
mah;An ;indo
meSy:aH s;am
hinv;e v;AjeSu
s;argAH asqkSata
v;Ak jy;eSWasya
;Urjam ;iSam
dev;eSu patyate
g;oBiH ajyate
